,Avg temp,,,,,10-yr MA,,,,,,,,,,,,,,,,
year,Shanghai,Amsterdam,New_York,San_Jose,global,Shanghai,Amsterdam,New_York,San_Jose,global,,,,,,,,,,,,
1743,,7.43,3.26,,,,,,,,,,,,,,,,,,,
1744,,10.31,11.66,,,,,,,,,,,,,,,,,,,
1745,,3.06,1.13,,,,,,,,,,,,,,,,,,,
1746,,,,,,,,,,,,,,,,,,,,,,
1747,,,,,,,,,,,,,,,,,,,,,,
1748,,,,,,,,,,,,,,,,,,,,,,
1749,,,,,,,,,,,,,,,,,,,,,,
1750,,10.04,10.07,,8.72,,,,,,,,,,,,,,,,,
1751,,9.63,10.79,,7.98,,,,,,,,,,,,,,,,,
1752,,5.97,2.81,,5.78,,,,,,,,,,,,,,,,,
1753,,9.08,9.52,,8.39,,,,,,,,,,,,,,,,,
1754,,8.72,9.88,,8.47,,,,,,,,,,,,,,,,,
1755,,8.55,6.61,,8.36,,,,,,,,,,,,,,,,,
1756,,9.17,9.94,,8.85,,,,,,,,,,,,,,,,,
1757,,9.05,8.89,,9.02,,,,,,,,,,,,,,,,,
1758,,8.79,8.15,,6.74,,,,,,,,,,,,,,,,,
1759,,9.64,9.01,,7.99,,,,,,,,,,,,,,,,,
1760,,9.14,7.73,,7.19,,,,,,,,,,,,,,,,,
1761,,9.41,10.18,,8.77,,,,,,,,,,,,,,,,,
1762,,8.58,9.55,,8.61,,,,,,,,,,,,,,,,,
1763,,8.44,7.23,,7.5,,,,,,,,,,,,,,,,,
1764,,9.07,9.55,,8.4,,,,,,,,,,,,,,,,,
1765,,8.87,8.96,,8.25,,,,,,,,,,,,,,,,,
1766,,8.85,10.09,,8.41,,,,,,,,,,,,,,,,,
1767,,8.5,8.52,,8.22,,,,,,,,,,,,,,,,,
1768,,8.61,8.67,,6.78,,,,,,,,,,,,,,,,,
1769,,8.81,9.1,,7.69,,,,,,,,,,,,,,,,,
1770,,8.84,9.04,,7.69,,,,,,,,,,,,,,,,,
1771,,8.22,10.18,,7.85,,,,,,,,,,,,,,,,,
1772,,9.3,9.64,,8.19,,,,,,,,,,,,,,,,,
1773,,9.54,10.08,,8.22,,,,,,,,,,,,,,,,,
1774,,8.9,9.52,,8.77,,,,,,,,,,,,,,,,,
1775,,9.93,10.24,,9.18,,,,,,,,,,,,,,,,,
1776,,8.89,9.13,,8.3,,,,,,,,,,,,,,,,,
1777,,8.78,8.77,,8.26,,,,,,,,,,,,,,,,,
1778,,9.56,6.89,,8.54,,,,,,,,,,,,,,,,,
1779,,10.57,0.25,,8.98,,,,,,,,,,,,,,,,,
1780,,9.25,,,9.43,,,,,,,,,,,,,,,,,
1781,,10.12,9.79,,8.1,,,,,,,,,,,,,,,,,
1782,,8.36,9.15,,7.9,,,,,,,,,,,,,,,,,
1783,,9.78,8.81,,7.68,,,,,,,,,,,,,,,,,
1784,,7.8,8.4,,7.86,,,,,,,,,,,,,,,,,
1785,,8,8.49,,7.36,,,,,,,,,,,,,,,,,
1786,,7.96,8.98,,8.26,,,,,,,,,,,,,,,,,
1787,,9.18,8.97,,8.03,,,,,,,,,,,,,,,,,
1788,,8.84,9.77,,8.45,,,,,,,,,,,,,,,,,
1789,,8.64,9.42,,8.33,,,,,,,,,,,,,,,,,
1790,,9.16,9.39,,7.98,,,,,,,,,,,,,,,,,
1791,,9.29,9.37,,8.23,,,,,,,,,,,,,,,,,
1792,,9.1,8.72,,8.09,,,,,,,,,,,,,,,,,
1793,,9.17,9.88,,8.23,,,,,,,,,,,,,,,,,
1794,,9.7,9.83,,8.53,,,,,,,,,,,,,,,,,
1795,,8.84,9.21,,8.35,,,,,,,,,,,,,,,,,
1796,,9.18,8.97,,8.27,,,,,,,,,,,,,,,,,
1797,,9.52,8.85,,8.51,,,,,,,,,,,,,,,,,
1798,,9.41,9.71,,8.67,,,,,,,,,,,,,,,,,
1799,,7.26,9.19,,8.51,,,,,,,,,,,,,,,,,
1800,,8.88,9.58,,8.48,,,,,,,,,,,,,,,,,
1801,,9.36,10,,8.59,,,,,,,,,,,,,,,,,
1802,,8.86,10.29,,8.58,,,,,,,,,,,,,,,,,
1803,,8.09,10.07,,8.5,,,,,,,,,,,,,,,,,
1804,,8.59,9.69,,8.84,,,,,,,,,,,,,,,,,
1805,,7.47,10.43,,8.56,,,,,,,,,,,,,,,,,
1806,,9.56,9.38,,8.43,,,,,,,,,,,,,,,,,
1807,,9.01,9.17,,8.28,,,,,,,,,,,,,,,,,
1808,,8.41,9.57,,7.63,,,,,,,,,,,,,,,,,
1809,,8.64,8.87,,7.08,,,,,,,,,,,,,,,,,
1810,,8.47,9.35,,6.92,,,,,,,,,,,,,,,,,
1811,,10.07,9.43,,6.86,,,,,,,,,,,,,,,,,
1812,,8,7.8,,7.05,,,,,,,,,,,,,,,,,
1813,,8.83,8.93,,7.74,,,,,,,,,,,,,,,,,
1814,,7.76,8.7,,7.59,,,,,,,,,,,,,,,,,
1815,,8.75,8.27,,7.24,,,,,,,,,,,,,,,,,
1816,,7.78,7.92,,6.94,,,,,,,,,,,,,,,,,
1817,,8.94,7.78,,6.98,,,,,,,,,,,,,,,,,
1818,,9.47,8.13,,7.83,,,,,,,,,,,,,,,,,
1819,,9.55,9.07,,7.37,,,,,,,,,,,,,,,,,
1820,,8.11,8.98,,7.62,,,,,,,,,,,,,,,,,
1821,,9.29,8.53,,8.09,,,,,,,,,,,,,,,,,
